,name,price,stars,reviews,url
0,Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,"₹26,999",4.4,"4,954 Ratings & 483 Reviews",https://www.flipkart.com/mi-x-series-108-cm-43-inch-ultra-hd-4k-led-smart-android-tv-dolby-vision-30w-audio-2022-model/p/itm39b39b602f81a?pid=TVSGHEQVGZVTSEBT&lid=LSTTVSGHEQVGZVTSEBT6BSNVA&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjSqpi3qyqUDdYqf6nCe4rGfUao6FiRlHoSLKrsOn%2FtkTA%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
1,Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹22,999",4.4,"3,33,459 Ratings & 31,682 Reviews",https://www.flipkart.com/mi-5a-108-cm-43-inch-full-hd-led-smart-android-tv-dolby-audio-2022-model/p/itm2d5967449cb9b?pid=TVSGD5CS3CXNF2DF&lid=LSTTVSGD5CS3CXNF2DFPJ6HSF&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjTgnxKmxMDSFhajtuHP8%2FM9%2BupfNJX30n32I03kkJAugQ%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
2,Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹12,499",4.4,"3,33,459 Ratings & 31,682 Reviews",https://www.flipkart.com/mi-5a-80-cm-32-inch-hd-ready-led-smart-android-tv-dolby-audio-2022-model/p/itm98501ffa297ba?pid=TVSGD5CS2SDUUZGN&lid=LSTTVSGD5CS2SDUUZGNWGZUUA&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGD5CS2SDUUZGN.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
3,OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,"₹12,999",4.3,"1,40,176 Ratings & 12,946 Reviews",https://www.flipkart.com/oneplus-y1-80-cm-32-inch-hd-ready-led-smart-android-tv-dolby-audio/p/itme650a6bb8cee3?pid=TVSFVWD2ENXYGEJY&lid=LSTTVSFVWD2ENXYGEJYBNWSST&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSFVWD2ENXYGEJY.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
4,Vu GloLED 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹41,599",4.4,"6,593 Ratings & 1,262 Reviews",https://www.flipkart.com/vu-gloled-139-cm-55-inch-ultra-hd-4k-led-smart-google-tv-dj-subwoofer-104w/p/itm7732e8b49d9c1?pid=TVSGGJSD8RGBZ5NR&lid=LSTTVSGGJSD8RGBZ5NRX7JIPZ&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGGJSD8RGBZ5NR.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
5,iFFALCON by TCL F53 79.97 cm (32 inch) HD Ready LED Smart Android TV with Android 11,"₹8,999",4.3,"1,774 Ratings & 260 Reviews",https://www.flipkart.com/iffalcon-tcl-f53-79-97-cm-32-inch-hd-ready-led-smart-android-tv-11/p/itmf4e9c6c14ccb0?pid=TVSGCYVJPAJMHGUW&lid=LSTTVSGCYVJPAJMHGUWTE92JA&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGCYVJPAJMHGUW.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
6,Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,"₹8,499",4.3,"12,892 Ratings & 1,854 Reviews",https://www.flipkart.com/infinix-y1-80-cm-32-inch-hd-ready-led-smart-linux-tv-wall-mount/p/itme5476ca89d1b0?pid=TVSGFGF34GMTB9KF&lid=LSTTVSGFGF34GMTB9KFF9JZPY&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGFGF34GMTB9KF.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
7,Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹21,990",4.4,"3,33,459 Ratings & 31,682 Reviews",https://www.flipkart.com/mi-5a-100-cm-40-inch-full-hd-led-smart-android-tv-dolby-audio-2022-model/p/itm6be60be56f52d?pid=TVSGD5CS4N7NWFZD&lid=LSTTVSGD5CS4N7NWFZDDJBZRI&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=en_evB9NrYwAbdLazt5ylW7izuX%2FspnaeAEOGROLrDOQjRRaUXSRqHFcD%2BDrQxXEmWY%2FcWYRk%2FLhkx6%2FVlyfyz4IA%3D%3D&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
8,Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹7,999",4.5,"8,440 Ratings & 1,502 Reviews",https://www.flipkart.com/thomson-alpha-80-cm-32-inch-hd-ready-led-smart-linux-tv-30-w-sound-output-bezel-less-design/p/itm0e90bcdadb9c9?pid=TVSGEMQV7R4CMTGA&lid=LSTTVSGEMQV7R4CMTGAN8OZ8J&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGEMQV7R4CMTGA.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
9,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹23,999",4.3,"1,40,176 Ratings & 12,946 Reviews",https://www.flipkart.com/oneplus-y1s-108-cm-43-inch-full-hd-led-smart-android-tv-11-bezel-less-frame/p/itm178846d2e1567?pid=TVSGAXEVSNT3HBQA&lid=LSTTVSGAXEVSNT3HBQA27QSBA&marketplace=FLIPKART&q=televisions&store=ckf%2Fczl&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=bfb6e4f6-1359-4203-b5dc-7c83909709a2.TVSGAXEVSNT3HBQA.SEARCH&ppt=None&ppn=None&ssid=g56nwhffog0000001674027040066&qH=97d6bdab4ad2b98f
